Node,version,input_file,timesteps,time (s)
A,Python,bottle.dat,100,6.746164552933955
A,Python,bottle.dat,200,14.958914272553706
A,Python,bottle.dat,500,38.207279913193965
A,Python,bottle.dat,1000,78.88142322755554
A,Python,bottle.dat,2000,167.46623133874633
A,Python,bottle.dat,3000,237.35557460046508
A,Python,bottle_medium.dat,100,56.280044548280024
A,Python,bottle_medium.dat,200,116.52915596223573
A,Python,bottle_medium.dat,500,289.31762479997377
A,Python,bottle_medium.dat,1000,576.7359619066784
A,Python,bottle_medium.dat,2000,1164.3868272230695
A,Python,bottle_medium.dat,3000,1733.6686415598463
A,Python,bottle_large.dat,100,233.4849336073468
A,Python,bottle_large.dat,200,467.94450282312135
A,Python,bottle_large.dat,500,1175.9234676287244
A,Python,bottle_large.dat,1000,2398.388069145448
A,Python,bottle_large.dat,2000,4713.4223940298625
A,Python,bottle_large.dat,3000,7080.81004451967
A,Cython,bottle.dat,100,0.05801470632832259
A,Cython,bottle.dat,200,0.040821627333571586
A,Cython,bottle.dat,500,0.012941046998093411
A,Cython,bottle.dat,1000,0.10281531457621843
A,Cython,bottle.dat,2000,0.27251164560038843
A,Cython,bottle.dat,3000,0.4460143292399148
A,Cython,bottle_medium.dat,100,0.056037350937912817
A,Cython,bottle_medium.dat,200,0.19275657777507102
A,Cython,bottle_medium.dat,500,0.6225036824198464
A,Cython,bottle_medium.dat,1000,1.2752646649332742
A,Cython,bottle_medium.dat,2000,2.7468013012858132
A,Cython,bottle_medium.dat,3000,4.18954841737468
A,Cython,bottle_large.dat,100,0.550244017884324
A,Cython,bottle_large.dat,200,1.2318667614908914
A,Cython,bottle_large.dat,500,3.118981524750779
A,Cython,bottle_large.dat,1000,6.4011890137644505
A,Cython,bottle_large.dat,2000,12.749787017151903
A,Cython,bottle_large.dat,3000,19.722477837845876
