Node,version,input_file,timesteps,time (s)
B,Python,bottle.dat,100,1.315067644696779
B,Python,bottle.dat,200,6.8976820749229715
B,Python,bottle.dat,500,30.146047715563228
B,Python,bottle.dat,1000,70.8201910299248
B,Python,bottle.dat,2000,159.4049991411156
B,Python,bottle.dat,3000,229.29434240283436
B,Python,bottle_medium.dat,100,48.21881235064929
B,Python,bottle_medium.dat,200,108.46792376460499
B,Python,bottle_medium.dat,500,281.256392602343
B,Python,bottle_medium.dat,1000,568.6747297090477
B,Python,bottle_medium.dat,2000,1156.3255950254388
B,Python,bottle_medium.dat,3000,1725.6074093622155
B,Python,bottle_large.dat,100,225.42370140971605
B,Python,bottle_large.dat,200,459.88327062549064
B,Python,bottle_large.dat,500,1167.8622354310937
B,Python,bottle_large.dat,1000,2390.326836947818
B,Python,bottle_large.dat,2000,4705.361161832232
B,Python,bottle_large.dat,3000,7072.748812322039
B,Cython,bottle.dat,100,0.02431466646381608
B,Cython,bottle.dat,200,0.007121587469065105
B,Cython,bottle.dat,500,0.046641086862599906
B,Cython,bottle.dat,1000,0.1365153544407249
B,Cython,bottle.dat,2000,0.01377006110892659
B,Cython,bottle.dat,3000,0.187272744748453
B,Cython,bottle_medium.dat,100,0.0897373908024193
B,Cython,bottle_medium.dat,200,0.0659850067163908
B,Cython,bottle_medium.dat,500,0.36376209792838465
B,Cython,bottle_medium.dat,1000,1.0165230804418122
B,Cython,bottle_medium.dat,2000,2.488059716794352
B,Cython,bottle_medium.dat,3000,3.930806832883219
B,Cython,bottle_large.dat,100,0.2915024333928622
B,Cython,bottle_large.dat,200,0.9731251769994295
B,Cython,bottle_large.dat,500,2.860239940259317
B,Cython,bottle_large.dat,1000,6.142447429272989
B,Cython,bottle_large.dat,2000,12.491045432660439
B,Cython,bottle_large.dat,3000,19.463736253354416
